,station_id,Relative_Impact,LAT,LNG,rides
0,40010,-0.6000185944805136,41.870851,-87.776812,1489.131506849315
1,40020,-0.5554415521567112,41.886848,-87.803176,3026.8109589041096
2,40030,-0.3904971636315546,41.885412,-87.725404,1251.0931506849315
3,40040,-0.7246246876661344,41.878723,-87.63374,5995.490410958904
4,40050,-0.5498836200224644,42.04771,-87.683543,3012.980821917808
5,40060,-0.6129138087191361,41.938132,-87.712359,4021.158904109589
6,40070,-0.6777640350583305,41.878183,-87.629296,5565.28493150685
7,40080,-0.5523838738676566,41.953775,-87.654929,4125.353424657535
8,40090,-0.6902250107295181,41.966286,-87.678639,2296.6383561643834
9,40100,-0.47415344080260324,42.008362,-87.665909,3820.3232876712327
10,40120,-0.6456758087077621,41.829353,-87.680622,2455.594520547945
11,40130,-0.4797341531449105,41.80209,-87.618487,791.4301369863014
12,40140,-0.6174691058896061,42.038951,-87.751919,1526.9397260273972
13,40150,-0.43478918166999686,41.853732,-87.724311,901.8630136986301
14,40160,-0.7070269429568896,41.8768,-87.631739,2274.145205479452
15,40170,-0.5974157178620675,41.885269,-87.666969,2029.2520547945205
16,40180,-0.6645660867226458,41.872108,-87.791602,1382.021917808219
17,40190,-0.5961065505029683,41.831191,-87.630636,3783.2986301369865
18,40210,-0.5877864133551715,41.854517,-87.675975,1269.2520547945205
19,40220,-0.5113759314703472,41.875478,-87.688436,1358.7013698630137
20,40230,-0.6343139259783552,41.984246,-87.838028,3396.7397260273974
21,40240,-0.39515763639575574,41.750419,-87.625112,5425.5315068493155
22,40250,-0.4235703910912724,41.874341,-87.70604,1597.772602739726
23,40260,-0.6891061545038851,41.88574,-87.627835,10364.895890410959
24,40270,-0.5519325279513853,42.033456,-87.679538,986.7068493150684
25,40280,-0.44672207257242164,41.887389,-87.76565,1627.3150684931506
26,40290,-0.4352124033218525,41.77886,-87.663766,827.0958904109589
27,40300,-0.5204620765274133,41.821732,-87.621371,635.5150684931507
28,40310,-0.5949619592344401,41.804546,-87.684019,2984.1753424657536
29,40320,-0.680404203592121,41.903355,-87.666496,4784.156164383561
30,40330,-0.5000113382987267,41.891665,-87.628021,10383.728767123288
31,40340,-0.3731364986978947,41.977984,-87.658668,2799.1479452054796
32,40350,-0.7257678620520644,41.875474,-87.649707,4737.093150684931
33,40360,-0.606522749038419,41.943744,-87.663619,2999.0027397260274
34,40370,-0.7045341538238088,41.883164,-87.62944,11443.693150684932
35,40380,-0.7069248808948723,41.885737,-87.630886,15974.704109589042
36,40390,-0.5239258333662434,41.874257,-87.817318,2532.1616438356164
37,40400,-0.6924494522779717,42.058282,-87.683337,756.2657534246575
38,40420,-0.4403483260450677,41.85182,-87.745336,1010.4246575342465
39,40430,-0.7017415823267312,41.875539,-87.640984,2686.246575342466
40,40440,-0.52466243344766,41.854109,-87.694774,1143.8465753424657
41,40450,-0.44155229998068773,41.722377,-87.624342,7742.1589041095895
42,40460,-0.75701766093048,41.888969,-87.633924,6131.005479452055
43,40470,-0.652025721974107,41.87592,-87.659458,1706.0
44,40480,-0.4035352673409982,41.886519,-87.744698,1017.0191780821917
45,40490,-0.6401682225507928,41.891189,-87.647578,2399.9397260273972
46,40510,-0.5299034068977485,41.795172,-87.618327,885.4712328767123
47,40520,-0.6782092247487406,42.05416,-87.68356,694.5287671232877
48,40530,-0.6865741281718983,41.932732,-87.653131,4523.306849315069
49,40540,-0.5804223942956914,41.964273,-87.657588,5614.983561643836
50,40550,-0.5992475275980352,41.952925,-87.729229,3517.2794520547945
51,40560,-0.6739757601327273,41.878153,-87.627596,7127.635616438356
52,40570,-0.6464836111895841,41.921939,-87.69689,4677.854794520548
53,40580,-0.5350547837777674,41.85177331,-87.75669201,1774.1534246575343
54,40590,-0.5427576454445145,41.909744,-87.677437,5586.975342465754
55,40600,-0.42637398219907147,41.853751,-87.733258,394.613698630137
56,40610,-0.6648796797641334,41.887159,-87.783661,1059.704109589041
57,40630,-0.4856854627174508,41.90392,-87.631412,6769.3835616438355
58,40650,-0.4913384980236421,41.910655,-87.649177,4924.884931506849
59,40660,-0.730948796711235,41.918217,-87.652644,3407.26301369863
60,40670,-0.7001247071289378,41.916157,-87.687364,4518.9808219178085
61,40680,-0.6388991073859629,41.879507,-87.626037,5719.131506849315
62,40690,-0.4776583976991986,42.041655,-87.681602,717.1260273972603
63,40700,-0.4691729487108426,41.887163,-87.754986,923.6191780821918
64,40710,-0.7180735435694116,41.89681,-87.635924,5461.301369863014
65,40720,-0.46612178251853265,41.780309,-87.605857,831.9068493150685
66,40730,-0.7611100619281914,41.882695,-87.63378,6067.183561643836
67,40740,-0.49645919250703036,41.854225,-87.685129,910.4328767123287
68,40750,-0.6159620068655668,41.98227,-87.8089,2314.7287671232875
69,40760,-0.4941103553571176,41.993664,-87.659202,3308.145205479452
70,40770,-0.5015923607894804,41.969139,-87.658493,2684.095890410959
71,40780,-0.49675327957453314,41.853839,-87.714842,942.6383561643836
72,40790,-0.7212376321142748,41.880703,-87.629378,6214.230136986302
73,40800,-0.6543344989966912,41.910409,-87.639302,3196.619178082192
74,40810,-0.5751451549352969,41.875706,-87.673932,2162.2164383561644
75,40820,-0.5909008375303356,41.983507,-87.859388,5206.6547945205475
76,40830,-0.5454966065108775,41.857908,-87.669147,1514.772602739726
77,40840,-0.6173025708809716,42.027612,-87.678329,637.841095890411
78,40850,-0.7212684961506723,41.876862,-87.628196,2950.709589041096
79,40870,-0.6860146603884926,41.966046,-87.701644,1354.9808219178083
80,40880,-0.5755976084615967,41.990259,-87.659076,2561.109589041096
81,40890,-0.5048114775062758,41.97766526,-87.90422307,10635.317808219179
82,40900,-0.498416235162464,42.019063,-87.672892,4543.871232876712
83,40910,-0.42506898187259445,41.780536,-87.630952,2575.1726027397262
84,40920,-0.34530945626776943,41.873797,-87.725663,1567.545205479452
85,40930,-0.6106591383171946,41.78661,-87.737875,6787.232876712329
86,40940,-0.4913592598618565,41.778943,-87.644244,436.2027397260274
87,40960,-0.6349655832510115,41.799756,-87.724493,4015.32602739726
88,40970,-0.4068467824791892,41.871574,-87.745154,1121.8657534246574
89,40980,-0.5076823925268528,41.87349,-87.806961,942.7287671232876
90,40990,-0.3930307788799282,41.768367,-87.625724,3909.641095890411
