"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p","CTNAME"
"Average6",781.836734693878,5228.40860855094,2348.3511866386,8129.89090028579,1548.34957818988,-4446.57187385706,-7348.05416559192,-1566.51445194472,1548.34957818988,-0.850463727449457,-1.40540931586226,-0.299615919341637,0.296141654968892,0.05,0.00540540540540541,40070
"Cumulative6",38310,256192.021818996,115069.208145291,398364.654114004,75869.1293313039,-217882.021818996,-360054.654114004,-76759.2081452913,75869.1293313039,-0.850463727449457,-1.40540931586226,-0.299615919341637,0.296141654968892,0.05,0.00540540540540541,40070
"Average7",1128,3593.50201052097,2658.92295565794,4821.94586976779,581.925896363231,-2465.50201052097,-3693.94586976779,-1530.92295565794,581.925896363231,-0.686100078225233,-1.02795152443292,-0.426025351085303,0.161938380626888,0.05,0.032258064516129,40080
"Cumulative7",55272,176081.598515528,130287.224827239,236275.347618622,28514.3689217983,-120809.598515528,-181003.347618622,-75015.2248272391,28514.3689217983,-0.686100078225233,-1.02795152443292,-0.426025351085303,0.161938380626888,0.05,0.032258064516129,40080
"Average8",269.551020408163,2004.41050705667,1103.15597927891,3000.67705075785,486.298097929739,-1734.85948664851,-2731.12603034969,-833.60495887075,486.298097929739,-0.865521049974948,-1.36255822883315,-0.415885346806945,0.242614023533448,0.05,0.0222222222222222,40090
"Cumulative8",13208,98216.114845777,54054.6429846667,147033.175487135,23828.6067985572,-85008.114845777,-133825.175487135,-40846.6429846667,23828.6067985572,-0.865521049974948,-1.36255822883315,-0.415885346806945,0.242614023533448,0.05,0.0222222222222222,40090
"Average9",1476.57142857143,3586.15185746851,3208.98898328586,4289.58547310821,323.744739039963,-2109.58042889708,-2813.01404453679,-1732.41755471443,323.744739039963,-0.588257417070523,-0.784410185719941,-0.483085386110046,0.0902763608199504,0.05,0.0222222222222222,40100
"Cumulative9",72352,175721.441015957,157240.460181007,210189.688182303,15863.4922129582,-103369.441015957,-137837.688182303,-84888.4601810072,15863.4922129582,-0.588257417070523,-0.784410185719941,-0.483085386110045,0.0902763608199504,0.05,0.0222222222222222,40100
"Average10",420.612244897959,2319.75814117295,1608.35354273958,3000.25642340028,350.221075635771,-1899.14589627499,-2579.64417850232,-1187.74129784162,350.221075635771,-0.818682716343316,-1.11203152290607,-0.512010832836675,0.150973099057079,0.05,0.00114025085518814,40120
"Cumulative10",20610,113668.148917475,78809.3235942394,147012.564746614,17160.8327061528,-93058.1489174747,-126402.564746614,-58199.3235942394,17160.8327061528,-0.818682716343316,-1.11203152290607,-0.512010832836675,0.150973099057079,0.05,0.00114025085518814,40120
"Average11",272.326530612245,713.327893555563,505.062946558054,913.869136097479,102.612912394983,-441.001362943319,-641.542605485235,-232.736415945809,102.612912394983,-0.618230924274052,-0.899365651169875,-0.326268491739109,0.143850974176142,0.05,0.000774593338497289,40130
"Cumulative11",13344,34953.0667842226,24748.0843813446,44779.5876687765,5028.03270735419,-21609.0667842226,-31435.5876687765,-11404.0843813447,5028.03270735419,-0.618230924274052,-0.899365651169875,-0.326268491739109,0.143850974176142,0.05,0.000774593338497289,40130
"Average12",265.326530612245,1237.41772360255,-56.4493022034675,2495.96394023818,631.289844901215,-972.091192990309,-2230.63740962594,321.775832815712,631.289844901215,-0.785580466845273,-1.80265513179476,0.260038163894171,0.510167126961226,0.05,0.0604026845637584,40140
"Cumulative12",13001,60633.4684565251,-2766.01580796991,122302.233071671,30933.2024001596,-47632.4684565251,-109301.233071671,15767.0158079699,30933.2024001596,-0.785580466845273,-1.80265513179476,0.260038163894171,0.510167126961226,0.05,0.0604026845637584,40140
"Average13",353.081632653061,819.519384173745,639.095143762634,991.942631344576,86.794257735215,-466.437751520684,-638.860998691515,-286.013511109573,86.794257735215,-0.569160120588185,-0.779555689626093,-0.349001520443518,0.105908730667454,0.05,0.000868055555555556,40150
"Cumulative13",17301,40156.4498245135,31315.6620443691,48605.1889358842,4252.91862902553,-22855.4498245135,-31304.1889358842,-14014.6620443691,4252.91862902553,-0.569160120588185,-0.779555689626092,-0.349001520443518,0.105908730667454,0.05,0.000868055555555556,40150
"Average14",270.979591836735,2198.09299102519,1512.30602477072,2806.43934391654,324.472825272089,-1927.11339918846,-2535.4597520798,-1241.32643293398,324.472825272089,-0.876720596925088,-1.15348156899279,-0.564728807198929,0.147615604342905,0.05,0.000879507475813544,40160
"Cumulative14",13278,107706.556560235,74102.9952137652,137515.52785191,15899.1684383323,-94428.5565602345,-124237.52785191,-60824.9952137652,15899.1684383323,-0.876720596925088,-1.15348156899279,-0.564728807198929,0.147615604342905,0.05,0.000879507475813544,40160
"Average15",451.408163265306,1965.09803766037,1161.50698788697,2746.81930546022,389.578504741877,-1513.68987439507,-2295.41114219492,-710.09882462166,389.578504741877,-0.770287204702139,-1.16808988569741,-0.361355418922049,0.198248890017572,0.05,0.000870322019147084,40170
"Cumulative15",22119,96289.8038453582,56913.8424064614,134594.145967551,19089.346732352,-74170.8038453582,-112475.145967551,-34794.8424064614,19089.346732352,-0.770287204702139,-1.16808988569741,-0.361355418922049,0.198248890017572,0.05,0.000870322019147084,40170
"Average16",189.204081632653,1323.35684214671,870.71533634319,1764.80568464616,223.34104579819,-1134.15276051405,-1575.6016030135,-681.511254710537,223.34104579819,-0.857027163341875,-1.19060978326724,-0.5149867616999,0.168768572984362,0.05,0.000772797527047913,40180
"Cumulative16",9271,64844.4852651886,42665.0514808163,86475.4785476616,10943.7112441113,-55573.4852651886,-77204.4785476616,-33394.0514808163,10943.7112441113,-0.857027163341875,-1.19060978326724,-0.5149867616999,0.168768572984362,0.05,0.000772797527047913,40180
"Average17",713.428571428571,3273.73455803447,-2853.62476011224,9526.63367386534,3144.45988340635,-2560.3059866059,-8813.20510243676,3567.05333154081,3144.45988340635,-0.782075009814813,-2.69209520387265,1.08959760429765,0.96051155879121,0.05,0.211096075778078,40190
"Cumulative17",34958,160412.993343689,-139827.6132455,466805.050019401,154078.534286911,-125454.993343689,-431847.050019402,174785.613245499,154078.534286911,-0.782075009814813,-2.69209520387265,1.08959760429765,0.96051155879121,0.05,0.211096075778078,40190
"Average18",278.897959183673,1264.74873939049,820.989616264696,1704.38729900168,223.558429422325,-985.850780206812,-1425.489339818,-542.091657081022,223.558429422325,-0.779483504907005,-1.12709291215027,-0.428616088079495,0.17676114034323,0.05,0.00175438596491228,40210
"Cumulative18",13666,61972.6882301338,40228.4911969701,83514.9776510822,10954.3630416939,-48306.6882301338,-69848.9776510822,-26562.4911969701,10954.3630416939,-0.779483504907005,-1.12709291215027,-0.428616088079495,0.17676114034323,0.05,0.00175438596491228,40210
"Average19",371.959183673469,1323.33568087117,844.814765042324,1793.09230172532,246.430199226357,-951.376497197702,-1421.13311805185,-472.855581368854,246.430199226357,-0.718923029847874,-1.07390221437716,-0.357320964139323,0.186218963781078,0.05,0.00138312586445367,40220
"Cumulative19",18226,64843.4483626874,41395.9234870738,87861.5227845408,12075.0797620915,-46617.4483626874,-69635.5227845408,-23169.9234870738,12075.0797620915,-0.718923029847874,-1.07390221437716,-0.357320964139323,0.186218963781078,0.05,0.00138312586445367,40220
"Average20",577,2864.6329413811,1682.95307116469,4039.99294000966,580.206794799241,-2287.6329413811,-3462.99294000966,-1105.95307116469,580.206794799241,-0.798578033623458,-1.20887841858723,-0.386071477147605,0.202541409902069,0.05,0.000875656742556918,40230
"Cumulative20",28273,140367.014127674,82464.7004870699,197959.654060473,28430.1329451628,-112094.014127674,-169686.654060473,-54191.7004870699,28430.1329451628,-0.798578033623458,-1.20887841858723,-0.386071477147605,0.20254140990207,0.05,0.000875656742556918,40230
"Average21",2463.95918367347,4829.47595814111,3794.95889110479,5830.43249010402,508.884397398177,-2365.51677446764,-3366.47330643055,-1330.99970743132,508.884397398177,-0.48980816862336,-0.697068032972738,-0.275599199368129,0.105370520903069,0.05,0.000862812769628991,40240
"Cumulative21",120734,236644.321948915,185952.985664135,285691.192015097,24935.3354725107,-115910.321948915,-164957.192015097,-65218.9856641347,24935.3354725107,-0.48980816862336,-0.697068032972738,-0.275599199368129,0.105370520903069,0.05,0.000862812769628991,40240
"Average22",660.755102040816,1453.89662143792,1084.64992135907,1813.71893543635,185.989875140499,-793.141519397102,-1152.96383339553,-423.894819318258,185.9898751405,-0.54552813982928,-0.793016378465231,-0.291557744249396,0.127925103063073,0.05,0.000858369098712446,40250
"Cumulative22",32377,71240.934450458,53147.8461465946,88872.2278363811,9113.50388188448,-38863.934450458,-56495.2278363811,-20770.8461465946,9113.50388188448,-0.54552813982928,-0.793016378465231,-0.291557744249396,0.127925103063073,0.05,0.000858369098712446,40250
"Average23",1256.34693877551,9489.44705291398,5658.18083569961,13102.2482259289,1905.16358274032,-8233.10011413847,-11845.9012871534,-4401.8338969241,1905.16358274032,-0.867605885593754,-1.24832366112584,-0.463866216058649,0.200766553848392,0.05,0.00288184438040346,40260
"Cumulative23",61561,464982.905592785,277250.860949281,642010.163070516,93353.0155542757,-403421.905592785,-580449.163070516,-215689.860949281,93353.0155542757,-0.867605885593754,-1.24832366112584,-0.463866216058649,0.200766553848392,0.05,0.00288184438040346,40260
"Average24",285.959183673469,855.804515909728,594.778590319735,1101.13561264442,124.616394303801,-569.845332236259,-815.176428970949,-308.819406646266,124.616394303801,-0.665859225608909,-0.952526440111628,-0.360852742542481,0.145613153456351,0.05,0.00088261253309797,40270
"Cumulative24",14012,41934.4212795767,29144.150925667,53955.6450195765,6106.20332088625,-27922.4212795767,-39943.6450195765,-15132.150925667,6106.20332088625,-0.665859225608909,-0.952526440111628,-0.360852742542481,0.145613153456351,0.05,0.00088261253309797,40270
"Average25",689.755102040816,1586.96685847723,1293.27440671657,1872.39691437984,147.982965017595,-897.211756436416,-1182.64181233902,-603.519304675752,147.982965017595,-0.565362629751028,-0.745221493455649,-0.380297358733034,0.0932489322175207,0.05,0.00112739571589628,40280
"Cumulative25",33798,77761.3760653844,63370.4459291118,91747.4488046121,7251.16528586216,-43963.3760653844,-57949.4488046121,-29572.4459291118,7251.16528586216,-0.565362629751028,-0.745221493455649,-0.380297358733034,0.0932489322175207,0.05,0.00112739571589628,40280
"Average26",330.530612244898,715.9230251157,553.477156947811,877.414976267178,80.7774272872478,-385.392412870802,-546.88436402228,-222.946544702913,80.7774272872478,-0.538315432456609,-0.763887100759049,-0.311411334573131,0.112829765845558,0.05,0.000796178343949045,40290
"Cumulative26",16196,35080.2282306693,27120.3806904428,42993.3338370917,3958.09393707514,-18884.2282306693,-26797.3338370917,-10924.3806904428,3958.09393707514,-0.538315432456609,-0.763887100759049,-0.311411334573131,0.112829765845558,0.05,0.000796178343949045,40290
"Average27",193.489795918367,555.851131559095,365.998643403393,741.13338551588,94.8560359600162,-362.361335640727,-547.643589597513,-172.508847485026,94.8560359600162,-0.651903567461216,-0.985234280375465,-0.310350807420612,0.170650072608392,0.05,0.00111607142857143,40300
"Cumulative27",9481,27236.7054463956,17933.9335267663,36315.5358902781,4647.9457620408,-17755.7054463956,-26834.5358902781,-8452.93352676628,4647.9457620408,-0.651903567461216,-0.985234280375465,-0.310350807420612,0.170650072608392,0.05,0.00111607142857143,40300
"Average28",714.102040816327,2871.27962471739,1989.70399672457,3726.60924043406,433.345107520097,-2157.17758390106,-3012.50719961773,-1275.60195590824,433.345107520097,-0.751294846148392,-1.04918628394274,-0.444262531913378,0.150924035328934,0.05,0.000874125874125874,40310
"Cumulative28",34991,140692.701611152,97495.4958395038,182603.852781269,21233.9102684848,-105701.701611152,-147612.852781269,-62504.4958395038,21233.9102684848,-0.751294846148392,-1.04918628394274,-0.444262531913378,0.150924035328934,0.05,0.000874125874125874,40310
"Average29",597.65306122449,4073.20770677831,1473.84529845198,6494.89434018946,1279.54095311688,-3475.55464555382,-5897.24127896497,-876.192237227491,1279.54095311688,-0.853272137281405,-1.44781256039343,-0.215111111512777,0.314135945237354,0.05,0.00452488687782805,40320
"Cumulative29",29285,199587.177632137,72218.4196241471,318249.822669283,62697.5067027272,-170302.177632137,-288964.822669283,-42933.419624147,62697.5067027272,-0.853272137281405,-1.44781256039343,-0.215111111512777,0.314135945237354,0.05,0.00452488687782805,40320
"Average30",3080.0612244898,7908.44674754068,1891.04934347178,13961.768899516,3293.52338283953,-4828.38552305088,-10881.7076750262,1189.01188101802,3293.52338283953,-0.610535251381997,-1.37596016289926,0.150347080656232,0.416456415270639,0.05,0.0795454545454545,40330
"Cumulative30",150923,387513.890629493,92661.4178301173,684126.676076283,161382.645759137,-236590.890629493,-533203.676076282,58261.5821698827,161382.645759137,-0.610535251381997,-1.37596016289926,0.150347080656232,0.416456415270639,0.05,0.0795454545454545,40330
"Average31",1079.28571428571,2560.07352352419,2068.33303455277,3130.98630048064,292.581018540791,-1480.78780923847,-2051.70058619492,-989.047320267058,292.581018540791,-0.578416125799398,-0.801422524525998,-0.386335513874437,0.11428617805399,0.05,0.0158730158730159,40340
"Cumulative31",52885,125443.602652685,101348.318693086,153418.328723551,14336.4699084987,-72558.6026526853,-100533.328723551,-48463.3186930859,14336.4699084987,-0.578416125799398,-0.801422524525998,-0.386335513874437,0.11428617805399,0.05,0.0158730158730159,40340
"Average32",450.081632653061,4110.84658907369,-3320.43867477042,10764.1859654979,3483.95049203156,-3660.76495642063,-10314.1043328448,3770.52030742348,3483.95049203156,-0.890513639246635,-2.50899762600212,0.917212604684696,0.84750194796654,0.05,0.1434034416826,40350
"Cumulative32",22054,201431.482864611,-162701.49506375,527445.112309396,170713.574109546,-179377.482864611,-505391.112309396,184755.49506375,170713.574109546,-0.890513639246635,-2.50899762600212,0.917212604684696,0.84750194796654,0.05,0.1434034416826,40350
"Average33",708.571428571429,2744.68698486494,1974.85727093959,3513.58597670492,410.285310048826,-2036.11555629351,-2805.01454813349,-1266.28584236816,410.285310048826,-0.741838893659382,-1.02197976075276,-0.461358927029149,0.149483461069064,0.05,0.0099009900990099,40360
"Cumulative33",34720,134489.662258382,96768.0062760397,172165.712858541,20103.9801923925,-99769.6622583821,-137445.712858541,-62048.0062760398,20103.9801923925,-0.741838893659382,-1.02197976075276,-0.461358927029149,0.149483461069064,0.05,0.0099009900990099,40360
"Average34",1246.28571428571,9734.98408159648,5943.4704382294,13328.7143961714,1829.83753894738,-8488.69836731077,-12082.4286818857,-4697.18472394369,1829.83753894738,-0.871978659252072,-1.241134919237,-0.482505639924311,0.187965129024361,0.05,0.000867302688638335,40370
"Cumulative34",61068,477014.219998227,291230.051473241,653107.005412398,89662.0394084216,-415946.219998227,-592039.005412398,-230162.051473241,89662.0394084216,-0.871978659252072,-1.241134919237,-0.482505639924311,0.187965129024361,0.05,0.000867302688638335,40370
"Average35",1549.34693877551,14041.9526409553,8818.71026809713,18930.1151455835,2585.03826726902,-12492.6057021798,-17380.768206808,-7269.36332932162,2585.03826726902,-0.889662999271438,-1.23777430754998,-0.517688922274209,0.184093931475698,0.05,0.0013986013986014,40380
"Cumulative35",75918,688055.679406808,432116.803136759,927575.642133592,126666.875096182,-612137.679406808,-851657.642133592,-356198.803136759,126666.875096182,-0.889662999271438,-1.23777430754998,-0.51768892227421,0.184093931475698,0.05,0.0013986013986014,40380
"Average36",779.265306122449,2239.70283566459,1577.60362297919,2869.26291007262,318.061931973075,-1460.43752954214,-2089.99760395017,-798.338316856746,318.061931973075,-0.652067544982495,-0.933158439891874,-0.356448321689897,0.142010773442047,0.05,0.000863557858376511,40390
"Cumulative36",38184,109745.438947565,77302.5775259805,140593.882593559,15585.0346666807,-71561.4389475649,-102409.882593559,-39118.5775259806,15585.0346666807,-0.652067544982495,-0.933158439891874,-0.356448321689897,0.142010773442047,0.05,0.000863557858376511,40390
"Average37",93.4081632653061,671.031102602226,232.185458860404,1088.49611700009,213.38145595829,-577.62293933692,-995.087953734788,-138.777295595098,213.38145595829,-0.860799055508644,-1.48292374209762,-0.206812016696284,0.31799041077352,0.05,0.00591216216216216,40400
"Cumulative37",4577,32880.5240275091,11377.0874841598,53336.3097330046,10455.6913419562,-28303.5240275091,-48759.3097330046,-6800.08748415979,10455.6913419562,-0.860799055508644,-1.48292374209762,-0.206812016696284,0.31799041077352,0.05,0.00591216216216216,40400
"Average38",416.34693877551,921.958327843641,751.360033348561,1084.25284525376,82.280293932771,-505.611389068131,-667.90590647825,-335.013094573051,82.280293932771,-0.548410241329129,-0.724442619917983,-0.363371189841747,0.0892451333730186,0.05,0.000902527075812274,40420
"Cumulative38",20401,45175.9580643384,36816.6416340795,53128.3894174343,4031.73440270578,-24774.9580643384,-32727.3894174343,-16415.6416340795,4031.73440270578,-0.548410241329129,-0.724442619917983,-0.363371189841747,0.0892451333730186,0.05,0.000902527075812274,40420
"Average39",365.30612244898,2749.39652318652,2116.56220220514,3325.60838758555,300.343892247817,-2384.09040073754,-2960.30226513657,-1751.25607975616,300.343892247817,-0.867132252707735,-1.07670983074701,-0.636960171072914,0.109239933096199,0.05,0.000796812749003984,40430
"Cumulative39",17900,134720.42963614,103711.547908052,162954.810991692,14716.850720143,-116820.42963614,-145054.810991692,-85811.547908052,14716.850720143,-0.867132252707735,-1.07670983074701,-0.636960171072914,0.109239933096199,0.05,0.000796812749003984,40430
"Average40",337.122448979592,1116.58851312921,777.282261795179,1463.070732452,171.026220081821,-779.466064149615,-1125.94828347241,-440.159812815588,171.026220081821,-0.698078168442898,-1.00838247056382,-0.394200556104641,0.153168529024649,0.05,0.00087719298245614,40440
"Cumulative40",16519,54712.8371433312,38086.8308279638,71690.4658901481,8380.28478400923,-38193.8371433312,-55171.4658901481,-21567.8308279638,8380.28478400923,-0.698078168442898,-1.00838247056382,-0.394200556104641,0.153168529024649,0.05,0.00087719298245614,40440
"Average41",3177.48979591837,7164.86435934304,5352.01383316923,8870.57009004096,872.096538976254,-3987.37456342467,-5693.08029412259,-2174.52403725086,872.096538976254,-0.556517801795522,-0.794583122386507,-0.303498283874036,0.121718499505023,0.05,0.000862068965517241,40450
"Cumulative41",155697,351078.353607809,262248.677825292,434657.934412007,42732.7304098364,-195381.353607809,-278960.934412007,-106551.677825292,42732.7304098364,-0.556517801795522,-0.794583122386507,-0.303498283874036,0.121718499505023,0.05,0.000862068965517241,40450
"Average42",343.979591836735,5421.22698372453,2445.47392224959,8150.95047954657,1428.67262422966,-5077.24739188779,-7806.97088770984,-2101.49433041286,1428.67262422966,-0.936549494631119,-1.44007452762036,-0.387641826605289,0.26353307627937,0.05,0.00105374077976818,40460
"Cumulative42",16855,265640.122202502,119828.22219023,399396.573497782,70004.9585872531,-248785.122202502,-382541.573497782,-102973.22219023,70004.9585872531,-0.936549494631119,-1.44007452762036,-0.387641826605289,0.26353307627937,0.05,0.00105374077976818,40460
"Average43",236.081632653061,1637.82103051917,808.255495847044,2821.80967850829,549.44327472925,-1401.73939786611,-2585.72804585523,-572.173863193982,549.44327472925,-0.855856269852497,-1.57876104755816,-0.349350663187302,0.335472108668114,0.05,0.0222222222222222,40470
"Cumulative43",11568,80253.2304954394,39604.5192965051,138268.674246906,26922.7204617332,-68685.2304954394,-126700.674246906,-28036.5192965051,26922.7204617332,-0.855856269852497,-1.57876104755816,-0.349350663187302,0.335472108668114,0.05,0.0222222222222222,40470
"Average44",452.938775510204,965.016109919045,755.437114773517,1167.23685623795,103.638038588551,-512.077334408841,-714.298080727744,-302.498339263313,103.638038588551,-0.530641228830676,-0.74019290806209,-0.313464548574935,0.107395138302142,0.05,0.000862068965517241,40480
"Cumulative44",22194,47285.7893860332,37016.4186239023,57194.6059556594,5078.26389083902,-25091.7893860332,-35000.6059556594,-14822.4186239023,5078.26389083901,-0.530641228830676,-0.740192908062091,-0.313464548574935,0.107395138302142,0.05,0.000862068965517241,40480
"Average45",405.673469387755,1994.55978204265,1236.38632794462,2690.14322137582,360.022496128226,-1588.88631265489,-2284.46975198806,-830.712858556861,360.022496128226,-0.796610022401885,-1.14535035377507,-0.416489325632607,0.180502233810973,0.05,0.000867302688638335,40490
"Cumulative45",19878,97733.4293200897,60582.9300692861,131817.017847415,17641.1023102831,-77855.4293200897,-111939.017847415,-40704.9300692862,17641.1023102831,-0.796610022401885,-1.14535035377507,-0.416489325632607,0.180502233810973,0.05,0.000867302688638335,40490
"Average46",271.857142857143,812.282898570878,478.747868589561,1137.54993124267,160.855382995886,-540.425755713735,-865.692788385527,-206.890725732418,160.855382995886,-0.665317165564552,-1.06575281827134,-0.254702796398175,0.198028769630498,0.05,0.000867302688638335,40510
"Cumulative46",13321,39801.862029973,23458.6455608885,55739.9466308908,7881.9137667984,-26480.862029973,-42418.9466308908,-10137.6455608885,7881.9137667984,-0.665317165564552,-1.06575281827134,-0.254702796398175,0.198028769630498,0.05,0.000867302688638335,40510
"Average47",114.244897959184,612.179175697263,198.388908516209,996.45586103573,197.319970207398,-497.934277738079,-882.210963076547,-84.1440105570257,197.319970207398,-0.813379967018544,-1.44109926978768,-0.137449971997474,0.322323884968243,0.05,0.00970873786407767,40520
"Cumulative47",5598,29996.7796091659,9721.05651729423,48826.3371907508,9668.67854016251,-24398.7796091659,-43228.3371907508,-4123.05651729426,9668.67854016251,-0.813379967018544,-1.44109926978768,-0.137449971997474,0.322323884968243,0.05,0.00970873786407767,40520
"Average48",538.224489795918,4132.47206404862,2292.65402881252,5991.50256119481,932.084894828009,-3594.2475742527,-5453.27807139889,-1754.4295390166,932.084894828009,-0.869757258741487,-1.31961643947721,-0.424547223024121,0.225551408547173,0.05,0.00163132137030995,40530
"Cumulative48",26373,202491.131138383,112340.047411813,293583.625498546,45672.1598465724,-176118.131138383,-267210.625498546,-85967.0474118135,45672.1598465724,-0.869757258741487,-1.31961643947721,-0.424547223024121,0.225551408547173,0.05,0.00163132137030995,40530
